Ⴁ	b AL
ზღვის	z AG ɣ BC v BE i AJ s AG
ზღვისიქითა	z AG ɣ BC v BE i AJ s AG i AJ kʰ AB i AJ tʰ AI ɑ AJ
ზღვისიქითური	z AG ɣ BC v BE i AJ s AG i AJ kʰ AB i AJ tʰ AI u AK r BA i AJ
ზღვისკენ	z AG ɣ BC v BE i AJ s AG kʼ AM ɛ AJ n AE
ზღმარტლი	z AG ɣ BC m AD ɑ AJ r BA tʼ BB l AC i AJ
ზღურბლი	z AG ɣ BC u AK r BA b AL l AC i AJ
თ	tʰ AI
თაბაშირი	tʰ AI ɑ AJ b AL ɑ AJ ʃ AG i AJ r BA i AJ
თაგვი	tʰ AI ɑ AJ ɡ BD v BE i AJ
თაგვისფერი	tʰ AI ɑ AJ ɡ BD v BE i AJ s AG pʰ AF ɛ AJ r BA i AJ
თავად	tʰ AI ɑ AJ v BE ɑ AJ d AH
თავადი	tʰ AI ɑ AJ v BE ɑ AJ d AH i AJ
თავაზიანად	tʰ AI ɑ AJ v BE ɑ AJ z AG i AJ ɑ AJ n AE ɑ AJ d AH
თავაზიანი	tʰ AI ɑ AJ v BE ɑ AJ z AG i AJ ɑ AJ n AE i AJ
თავაზიანობა	tʰ AI ɑ AJ v BE ɑ AJ z AG i AJ ɑ AJ n AE ɔ AK b AL ɑ AJ
თავანი	tʰ AI ɑ AJ v BE ɑ AJ n AE i AJ
თავაშვებული	tʰ AI ɑ AJ v BE ɑ AJ ʃ AG v BE ɛ AJ b AL u AK l AC i AJ
თავაწყვეტილი	tʰ AI ɑ AJ v BE ɑ AJ t AH sʼ BF qʼ AM v BE ɛ AJ tʼ BB i AJ l AC i AJ
თავბრუ	tʰ AI ɑ AJ v BE b AL r BA u AK
თავბრუდამხვევად	tʰ AI ɑ AJ v BE b AL r BA u AK d AH ɑ AJ m AD x BC v BE ɛ AJ v BE ɑ AJ d AH
თავგადასავალი	tʰ AI ɑ AJ v BE ɡ BD ɑ AJ d AH ɑ AJ s AG ɑ AJ v BE ɑ AJ l AC i AJ
თავგადსავალთა	tʰ AI ɑ AJ v BE ɡ BD ɑ AJ d AH s AG ɑ AJ v BE ɑ AJ l AC tʰ AI ɑ AJ
თავგანწირვა	tʰ AI ɑ AJ v BE ɡ BD ɑ AJ n AE t AH sʼ BF i AJ r BA v BE ɑ AJ
თავგანწირული	tʰ AI ɑ AJ v BE ɡ BD ɑ AJ n AE t AH sʼ BF i AJ r BA u AK l AC i AJ
თავგზააბნეულად	tʰ AI ɑ AJ v BE ɡ BD z AG ɑ AJ ɑ AJ b AL n AE ɛ AJ u AK l AC ɑ AJ d AH
თავდამსხმელი	tʰ AI ɑ AJ v BE d AH ɑ AJ m AD s AG x BC m AD ɛ AJ l AC i AJ
თავდაპირველად	tʰ AI ɑ AJ v BE d AH ɑ AJ pʼ AN i AJ r BA v BE ɛ AJ l AC ɑ AJ d AH
თავდაპირველი	tʰ AI ɑ AJ v BE d AH ɑ AJ pʼ AN i AJ r BA v BE ɛ AJ l AC i AJ
თავდასხმა	tʰ AI ɑ AJ v BE d AH ɑ AJ s AG x BC m AD ɑ AJ
თავდაუზოგავად	tʰ AI ɑ AJ v BE d AH ɑ AJ u AK z AG ɔ AK ɡ BD ɑ AJ v BE ɑ AJ d AH
თავდაყირა	tʰ AI ɑ AJ v BE d AH ɑ AJ qʼ AM i AJ r BA ɑ AJ
თავდაცვა	tʰ AI ɑ AJ v BE d AH ɑ AJ t AH s AG v BE ɑ AJ
თავდაცვითი	tʰ AI ɑ AJ v BE d AH ɑ AJ t AH s AG v BE i AJ tʰ AI i AJ
თავდაჭერილი	tʰ AI ɑ AJ v BE d AH ɑ AJ t AH ʃʼ BF ɛ AJ r BA i AJ l AC i AJ
თავდაჯერებულად	tʰ AI ɑ AJ v BE d AH ɑ AJ d AH ʒ AG ɛ AJ r BA ɛ AJ b AL u AK l AC ɑ AJ d AH
თავდები	tʰ AI ɑ AJ v BE d AH ɛ AJ b AL i AJ
თავდებობა	tʰ AI ɑ AJ v BE d AH ɛ AJ b AL ɔ AK b AL ɑ AJ
თავზარი	tʰ AI ɑ AJ v BE z AG ɑ AJ r BA i AJ
თავი	tʰ AI ɑ AJ v BE i AJ
თავიდან	tʰ AI ɑ AJ v BE i AJ d AH ɑ AJ n AE
თავით	tʰ AI ɑ AJ v BE i AJ tʰ AI
თავისებურება	tʰ AI ɑ AJ v BE i AJ s AG ɛ AJ b AL u AK r BA ɛ AJ b AL ɑ AJ
თავისებური	tʰ AI ɑ AJ v BE i AJ s AG ɛ AJ b AL u AK r BA i AJ
თავისთვის	tʰ AI ɑ AJ v BE i AJ s AG tʰ AI v BE i AJ s AG
თავისი	tʰ AI ɑ AJ v BE i AJ s AG i AJ
თავისუფალი	tʰ AI ɑ AJ v BE i AJ s AG u AK pʰ AF ɑ AJ l AC i AJ
თავისუფლად	tʰ AI ɑ AJ v BE i AJ s AG u AK pʰ AF l AC ɑ AJ d AH
თავისუფლება	tʰ AI ɑ AJ v BE i AJ s AG u AK pʰ AF l AC ɛ AJ b AL ɑ AJ
თავკომბალა	tʰ AI ɑ AJ v BE kʼ AM ɔ AK m AD b AL ɑ AJ l AC ɑ AJ
თავლა	tʰ AI ɑ AJ v BE l AC ɑ AJ
თავმა	tʰ AI ɑ AJ v BE m AD ɑ AJ
თავმდაბალი	tʰ AI ɑ AJ v BE m AD d AH ɑ AJ b AL ɑ AJ l AC i AJ
თავმდაბლად	tʰ AI ɑ AJ v BE m AD d AH ɑ AJ b AL l AC ɑ AJ d AH
თავმდაბლობა	tʰ AI ɑ AJ v BE m AD d AH ɑ AJ b AL l AC ɔ AK b AL ɑ AJ
თავმდაბლურად	tʰ AI ɑ AJ v BE m AD d AH ɑ AJ b AL l AC u AK r BA ɑ AJ d AH
თავმჯდომარე	tʰ AI ɑ AJ v BE m AD d AH ʒ AG d AH ɔ AK m AD ɑ AJ r BA ɛ AJ
თავნება	tʰ AI ɑ AJ v BE n AE ɛ AJ b AL ɑ AJ
თავნებად	tʰ AI ɑ AJ v BE n AE ɛ AJ b AL ɑ AJ d AH
თავნებობა	tʰ AI ɑ AJ v BE n AE ɛ AJ b AL ɔ AK b AL ɑ AJ
თავნებურად	tʰ AI ɑ AJ v BE n AE ɛ AJ b AL u AK r BA ɑ AJ d AH
თავს	tʰ AI ɑ AJ v BE s AG
თავსაბურავი	tʰ AI ɑ AJ v BE s AG ɑ AJ b AL u AK r BA ɑ AJ v BE i AJ
თავსატეხი	tʰ AI ɑ AJ v BE s AG ɑ AJ tʼ BB ɛ AJ x BC i AJ
თავსაფარი	tʰ AI ɑ AJ v BE s AG ɑ AJ pʰ AF ɑ AJ r BA i AJ
თავქარიანად	tʰ AI ɑ AJ v BE kʰ AB ɑ AJ r BA i AJ ɑ AJ n AE ɑ AJ d AH
თავქარიანი	tʰ AI ɑ AJ v BE kʰ AB ɑ AJ r BA i AJ ɑ AJ n AE i AJ
თავქვეშ	tʰ AI ɑ AJ v BE kʰ AB v BE ɛ AJ ʃ AG
თავქუდმოგლეჯილი	tʰ AI ɑ AJ v BE kʰ AB u AK d AH m AD ɔ AK ɡ BD l AC ɛ AJ d AH ʒ AG i AJ l AC i AJ
თავყვითელა	tʰ AI ɑ AJ v BE qʼ AM v BE i AJ tʰ AI ɛ AJ l AC ɑ AJ
თავშალი	tʰ AI ɑ AJ v BE ʃ AG ɑ AJ l AC i AJ
თავშეკავება	tʰ AI ɑ AJ v BE ʃ AG ɛ AJ kʼ AM ɑ AJ v BE ɛ AJ b AL ɑ AJ
თავშეკავებულად	tʰ AI ɑ AJ v BE ʃ AG ɛ AJ kʼ AM ɑ AJ v BE ɛ AJ b AL u AK l AC ɑ AJ d AH
თავშესაფარი	tʰ AI ɑ AJ v BE ʃ AG ɛ AJ s AG ɑ AJ pʰ AF ɑ AJ r BA i AJ
თავშესაქცევად	tʰ AI ɑ AJ v BE ʃ AG ɛ AJ s AG ɑ AJ kʰ AB t AH s AG ɛ AJ v BE ɑ AJ d AH
თავშეუკავებლად	tʰ AI ɑ AJ v BE ʃ AG ɛ AJ u AK kʼ AM ɑ AJ v BE ɛ AJ b AL l AC ɑ AJ d AH
თავშეყუკავებლად	tʰ AI ɑ AJ v BE ʃ AG ɛ AJ qʼ AM u AK kʼ AM ɑ AJ v BE ɛ AJ b AL l AC ɑ AJ d AH
თავშიშველი	tʰ AI ɑ AJ v BE ʃ AG i AJ ʃ AG v BE ɛ AJ l AC i AJ
თავხე	tʰ AI ɑ AJ v BE x BC ɛ AJ
თავხედი	tʰ AI ɑ AJ v BE x BC ɛ AJ d AH i AJ
თავხედობა	tʰ AI ɑ AJ v BE x BC ɛ AJ d AH ɔ AK b AL ɑ AJ
თავხედურად	tʰ AI ɑ AJ v BE x BC ɛ AJ d AH u AK r BA ɑ AJ d AH
თავხედური	tʰ AI ɑ AJ v BE x BC ɛ AJ d AH u AK r BA i AJ
თათარიახნი	tʰ AI ɑ AJ tʰ AI ɑ AJ r BA i AJ ɑ AJ x BC n AE i AJ
თათბირი	tʰ AI ɑ AJ tʰ AI b AL i AJ r BA i AJ
თათი	tʰ AI ɑ AJ tʰ AI i AJ
თათმანი	tʰ AI ɑ AJ tʰ AI m AD ɑ AJ n AE i AJ
თათრული	tʰ AI ɑ AJ tʰ AI r BA u AK l AC i AJ
თაიგული	tʰ AI ɑ AJ i AJ ɡ BD u AK l AC i AJ
თაკარა	tʰ AI ɑ AJ kʼ AM ɑ AJ r BA ɑ AJ
თაკარად	tʰ AI ɑ AJ kʼ AM ɑ AJ r BA ɑ AJ d AH
თალგამი	tʰ AI ɑ AJ l AC ɡ BD ɑ AJ m AD i AJ
თალგამურა	tʰ AI ɑ AJ l AC ɡ BD ɑ AJ m AD u AK r BA ɑ AJ
თალიუმი	tʰ AI ɑ AJ l AC i AJ u AK m AD i AJ
თალმუდი	tʰ AI ɑ AJ l AC m AD u AK d AH i AJ
თამადა	tʰ AI ɑ AJ m AD ɑ AJ d AH ɑ AJ
თამამად	tʰ AI ɑ AJ m AD ɑ AJ m AD ɑ AJ d AH
თამამი	tʰ AI ɑ AJ m AD ɑ AJ m AD i AJ
თამარი	tʰ AI ɑ AJ m AD ɑ AJ r BA i AJ
თამასა	tʰ AI ɑ AJ m AD ɑ AJ s AG ɑ AJ
თამასუქი	tʰ AI ɑ AJ m AD ɑ AJ s AG u AK kʰ AB i AJ
თამაშგარე	tʰ AI ɑ AJ m AD ɑ AJ ʃ AG ɡ BD ɑ AJ r BA ɛ AJ
თამაშგარეთ	tʰ AI ɑ AJ m AD ɑ AJ ʃ AG ɡ BD ɑ AJ r BA ɛ AJ tʰ AI
თამაში	tʰ AI ɑ AJ m AD ɑ AJ ʃ AG i AJ
თამაშობს	tʰ AI ɑ AJ m AD ɑ AJ ʃ AG ɔ AK b AL s AG
თამბაქო	tʰ AI ɑ AJ m AD b AL ɑ AJ kʰ AB ɔ AK
თამბაქოსფერი	tʰ AI ɑ AJ m AD b AL ɑ AJ kʰ AB ɔ AK s AG pʰ AF ɛ AJ r BA i AJ
თან	tʰ AI ɑ AJ n AE
თანაარსებობა	tʰ AI ɑ AJ n AE ɑ AJ ɑ AJ r BA s AG ɛ AJ b AL ɔ AK b AL ɑ AJ
თანაბარი	tʰ AI ɑ AJ n AE ɑ AJ b AL ɑ AJ r BA i AJ
თანაბრად	tʰ AI ɑ AJ n AE ɑ AJ b AL r BA ɑ AJ d AH
თანაგრძნობა	tʰ AI ɑ AJ n AE ɑ AJ ɡ BD r BA d AH z AG n AE ɔ AK b AL ɑ AJ
თანაგრძნობით	tʰ AI ɑ AJ n AE ɑ AJ ɡ BD r BA d AH z AG n AE ɔ AK b AL i AJ tʰ AI
თანადროულად	tʰ AI ɑ AJ n AE ɑ AJ d AH r BA ɔ AK u AK l AC ɑ AJ d AH
თანადროული	tʰ AI ɑ AJ n AE ɑ AJ d AH r BA ɔ AK u AK l AC i AJ
თანაზომადი	tʰ AI ɑ AJ n AE ɑ AJ z AG ɔ AK m AD ɑ AJ d AH i AJ
თანამგზავრი	tʰ AI ɑ AJ n AE ɑ AJ m AD ɡ BD z AG ɑ AJ v BE r BA i AJ
თანამგრძნობი	tʰ AI ɑ AJ n AE ɑ AJ m AD ɡ BD r BA d AH z AG n AE ɔ AK b AL i AJ
თანამდებობა	tʰ AI ɑ AJ n AE ɑ AJ m AD d AH ɛ AJ b AL ɔ AK b AL ɑ AJ
თანამედროვე	tʰ AI ɑ AJ n AE ɑ AJ m AD ɛ AJ d AH r BA ɔ AK v BE ɛ AJ
თანამედროვედ	tʰ AI ɑ AJ n AE ɑ AJ m AD ɛ AJ d AH r BA ɔ AK v BE ɛ AJ d AH
თანამემამულე	tʰ AI ɑ AJ n AE ɑ AJ m AD ɛ AJ m AD ɑ AJ m AD u AK l AC ɛ AJ
თანამოიჯარე	tʰ AI ɑ AJ n AE ɑ AJ m AD ɔ AK i AJ d AH ʒ AG ɑ AJ r BA ɛ AJ
თანამონაწილე	tʰ AI ɑ AJ n AE ɑ AJ m AD ɔ AK n AE ɑ AJ t AH sʼ BF i AJ l AC ɛ AJ
თანამოსაუბრე	tʰ AI ɑ AJ n AE ɑ AJ m AD ɔ AK s AG ɑ AJ u AK b AL r BA ɛ AJ
თანამოძმე	tʰ AI ɑ AJ n AE ɑ AJ m AD ɔ AK d AH z AG m AD ɛ AJ
თანამშრომელი	tʰ AI ɑ AJ n AE ɑ AJ m AD ʃ AG r BA ɔ AK m AD ɛ AJ l AC i AJ
თანასწორი	tʰ AI ɑ AJ n AE ɑ AJ s AG t AH sʼ BF ɔ AK r BA i AJ
თანასწორობა	tʰ AI ɑ AJ n AE ɑ AJ s AG t AH sʼ BF ɔ AK r BA ɔ AK b AL ɑ AJ
თანაფარდობა	tʰ AI ɑ AJ n AE ɑ AJ pʰ AF ɑ AJ r BA d AH ɔ AK b AL ɑ AJ
თანაყვავილი	tʰ AI ɑ AJ n AE ɑ AJ qʼ AM v BE ɑ AJ v BE i AJ l AC i AJ
თანაშემწე	tʰ AI ɑ AJ n AE ɑ AJ ʃ AG ɛ AJ m AD t AH sʼ BF ɛ AJ
თანაც	tʰ AI ɑ AJ n AE ɑ AJ t AH s AG
თანაცხოვრება	tʰ AI ɑ AJ n AE ɑ AJ t AH s AG x BC ɔ AK v BE r BA ɛ AJ b AL ɑ AJ
თანახმა	tʰ AI ɑ AJ n AE ɑ AJ x BC m AD ɑ AJ
თანახმად	tʰ AI ɑ AJ n AE ɑ AJ x BC m AD ɑ AJ d AH
თანდათან	tʰ AI ɑ AJ n AE d AH ɑ AJ tʰ AI ɑ AJ n AE
თანდათანობით	tʰ AI ɑ AJ n AE d AH ɑ AJ tʰ AI ɑ AJ n AE ɔ AK b AL i AJ tʰ AI
თანდაყოლილად	tʰ AI ɑ AJ n AE d AH ɑ AJ qʼ AM ɔ AK l AC i AJ l AC ɑ AJ d AH
თანდაყოლილი	tʰ AI ɑ AJ n AE d AH ɑ AJ qʼ AM ɔ AK l AC i AJ l AC i AJ
თანდებული	tʰ AI ɑ AJ n AE d AH ɛ AJ b AL u AK l AC i AJ
თანი	tʰ AI ɑ AJ n AE i AJ
თანმიმდევრობა	tʰ AI ɑ AJ n AE m AD i AJ m AD d AH ɛ AJ v BE r BA ɔ AK b AL ɑ AJ
თანმიმდევრულად	tʰ AI ɑ AJ n AE m AD i AJ m AD d AH ɛ AJ v BE r BA u AK l AC ɑ AJ d AH
თანმხლები	tʰ AI ɑ AJ n AE m AD x BC l AC ɛ AJ b AL i AJ
თანხა	tʰ AI ɑ AJ n AE x BC ɑ AJ
თანხლება	tʰ AI ɑ AJ n AE x BC l AC ɛ AJ b AL ɑ AJ
თანხმობა	tʰ AI ɑ AJ n AE x BC m AD ɔ AK b AL ɑ AJ
თანხმოვანი	tʰ AI ɑ AJ n AE x BC m AD ɔ AK v BE ɑ AJ n AE i AJ
თაობა	tʰ AI ɑ AJ ɔ AK b AL ɑ AJ
თარაზო	tʰ AI ɑ AJ r BA ɑ AJ z AG ɔ AK
თარგი	tʰ AI ɑ AJ r BA ɡ BD i AJ
თარგმანები	tʰ AI ɑ AJ r BA ɡ BD m AD ɑ AJ n AE ɛ AJ b AL i AJ
თარგმანი	tʰ AI ɑ AJ r BA ɡ BD m AD ɑ AJ n AE i AJ
თარგმნა	tʰ AI ɑ AJ r BA ɡ BD m AD n AE ɑ AJ
თართი	tʰ AI ɑ AJ r BA tʰ AI i AJ
თარიღი	tʰ AI ɑ AJ r BA i AJ ɣ BC i AJ
თარო	tʰ AI ɑ AJ r BA ɔ AK
თარფი	tʰ AI ɑ AJ r BA pʰ AF i AJ
თარჯიმანი	tʰ AI ɑ AJ r BA d AH ʒ AG i AJ m AD ɑ AJ n AE i AJ
თასი	tʰ AI ɑ AJ s AG i AJ
თასმა	tʰ AI ɑ AJ s AG m AD ɑ AJ
თაფლა	tʰ AI ɑ AJ pʰ AF l AC ɑ AJ
თაფლი	tʰ AI ɑ AJ pʰ AF l AC i AJ
თაფლუჭი	tʰ AI ɑ AJ pʰ AF l AC u AK t AH ʃʼ BF i AJ
თაღი	tʰ AI ɑ AJ ɣ BC i AJ
თაღლითი	tʰ AI ɑ AJ ɣ BC l AC i AJ tʰ AI i AJ
თაღლითობა	tʰ AI ɑ AJ ɣ BC l AC i AJ tʰ AI ɔ AK b AL ɑ AJ
თაღლითურად	tʰ AI ɑ AJ ɣ BC l AC i AJ tʰ AI u AK r BA ɑ AJ d AH
თაღლითური	tʰ AI ɑ AJ ɣ BC l AC i AJ tʰ AI u AK r BA i AJ
თაყაიშვილი	tʰ AI ɑ AJ qʼ AM ɑ AJ i AJ ʃ AG v BE i AJ l AC i AJ
თაყვანისცემა	tʰ AI ɑ AJ qʼ AM v BE ɑ AJ n AE i AJ s AG t AH s AG ɛ AJ m AD ɑ AJ
თახვი	tʰ AI ɑ AJ x BC v BE i AJ
თახსირი	tʰ AI ɑ AJ x BC s AG i AJ r BA i AJ
თბილა	tʰ AI b AL i AJ l AC ɑ AJ
თბილად	tʰ AI b AL i AJ l AC ɑ AJ d AH
თბილი	tʰ AI b AL i AJ l AC i AJ
თბილისი	tʰ AI b AL i AJ l AC i AJ s AG i AJ
თბილისმა	tʰ AI b AL i AJ l AC i AJ s AG m AD ɑ AJ
თეატრალი	tʰ AI ɛ AJ ɑ AJ tʼ BB r BA ɑ AJ l AC i AJ
თეატრალურად	tʰ AI ɛ AJ ɑ AJ tʼ BB r BA ɑ AJ l AC u AK r BA ɑ AJ d AH
თეატრალური	tʰ AI ɛ AJ ɑ AJ tʼ BB r BA ɑ AJ l AC u AK r BA i AJ
თეატრი	tʰ AI ɛ AJ ɑ AJ tʼ BB r BA i AJ
თებერვალი	tʰ AI ɛ AJ b AL ɛ AJ r BA v BE ɑ AJ l AC i AJ
თებო	tʰ AI ɛ AJ b AL ɔ AK
თევდორე	tʰ AI ɛ AJ v BE d AH ɔ AK r BA ɛ AJ
თევზაობა	tʰ AI ɛ AJ v BE z AG ɑ AJ ɔ AK b AL ɑ AJ
თევზები	tʰ AI ɛ AJ v BE z AG ɛ AJ b AL i AJ
თევზი	tʰ AI ɛ AJ v BE z AG i AJ
თეზამი	tʰ AI ɛ AJ z AG ɑ AJ m AD i AJ
თეზისი	tʰ AI ɛ AJ z AG i AJ s AG i AJ
თეთრეული	tʰ AI ɛ AJ tʰ AI r BA ɛ AJ u AK l AC i AJ
თეთრი	tʰ AI ɛ AJ tʰ AI r BA i AJ
თეთრყვავილა	tʰ AI ɛ AJ tʰ AI r BA qʼ AM v BE ɑ AJ v BE i AJ l AC ɑ AJ
თეიზმი	tʰ AI ɛ AJ i AJ z AG m AD i AJ
თეირანი	tʰ AI ɛ AJ i AJ r BA ɑ AJ n AE i AJ
თეისტური	tʰ AI ɛ AJ i AJ s AG tʼ BB u AK r BA i AJ
თელა	tʰ AI ɛ AJ l AC ɑ AJ
თელავი	tʰ AI ɛ AJ l AC ɑ AJ v BE i AJ
თელავს	tʰ AI ɛ AJ l AC ɑ AJ v BE s AG
თელვადი	tʰ AI ɛ AJ l AC v BE ɑ AJ d AH i AJ
თელვადობა	tʰ AI ɛ AJ l AC v BE ɑ AJ d AH ɔ AK b AL ɑ AJ
თემა	tʰ AI ɛ AJ m AD ɑ AJ
თემატური	tʰ AI ɛ AJ m AD ɑ AJ tʼ BB u AK r BA i AJ
თემშარა	tʰ AI ɛ AJ m AD ʃ AG ɑ AJ r BA ɑ AJ
თეო	tʰ AI ɛ AJ ɔ AK
თეოდიცეა	tʰ AI ɛ AJ ɔ AK d AH i AJ t AH s AG ɛ AJ ɑ AJ
თეოდოლიტი	tʰ AI ɛ AJ ɔ AK d AH ɔ AK l AC i AJ tʼ BB i AJ
თეოლოგი	tʰ AI ɛ AJ ɔ AK l AC ɔ AK ɡ BD i AJ
თეოლოგია	tʰ AI ɛ AJ ɔ AK l AC ɔ AK ɡ BD i AJ ɑ AJ
თეოლოგიურად	tʰ AI ɛ AJ ɔ AK l AC ɔ AK ɡ BD i AJ u AK r BA ɑ AJ d AH
თეოლოგიური	tʰ AI ɛ AJ ɔ AK l AC ɔ AK ɡ BD i AJ u AK r BA i AJ
თეორბო	tʰ AI ɛ AJ ɔ AK r BA b AL ɔ AK
თეორემა	tʰ AI ɛ AJ ɔ AK r BA ɛ AJ m AD ɑ AJ
თეორეტიკოსი	tʰ AI ɛ AJ ɔ AK r BA ɛ AJ tʼ BB i AJ kʼ AM ɔ AK s AG i AJ
თეორია	tʰ AI ɛ AJ ɔ AK r BA i AJ ɑ AJ
თეორიულად	tʰ AI ɛ AJ ɔ AK r BA i AJ u AK l AC ɑ AJ d AH
თეორიული	tʰ AI ɛ AJ ɔ AK r BA i AJ u AK l AC i AJ
თეოსოფია	tʰ AI ɛ AJ ɔ AK s AG ɔ AK pʰ AF i AJ ɑ AJ
თეოსოფიური	tʰ AI ɛ AJ ɔ AK s AG ɔ AK pʰ AF i AJ u AK r BA i AJ
თერაპევტი	tʰ AI ɛ AJ r BA ɑ AJ pʼ AN ɛ AJ v BE tʼ BB i AJ
თერაპევტული	tʰ AI ɛ AJ r BA ɑ AJ pʼ AN ɛ AJ v BE tʼ BB u AK l AC i AJ
თერაპია	tʰ AI ɛ AJ r BA ɑ AJ pʼ AN i AJ ɑ AJ
თერთმეტი	tʰ AI ɛ AJ r BA tʰ AI m AD ɛ AJ tʼ BB i AJ
თერმომეტრი	tʰ AI ɛ AJ r BA m AD ɔ AK m AD ɛ AJ tʼ BB r BA i AJ
თერმოსი	tʰ AI ɛ AJ r BA m AD ɔ AK s AG i AJ
თერმოსტატი	tʰ AI ɛ AJ r BA m AD ɔ AK s AG tʼ BB ɑ AJ tʼ BB i AJ
თერმოსტატურად	tʰ AI ɛ AJ r BA m AD ɔ AK s AG tʼ BB ɑ AJ tʼ BB u AK r BA ɑ AJ d AH
თერმულად	tʰ AI ɛ AJ r BA m AD u AK l AC ɑ AJ d AH
თერმული	tʰ AI ɛ AJ r BA m AD u AK l AC i AJ
თერძი	tʰ AI ɛ AJ r BA d AH z AG i AJ
თესავს	tʰ AI ɛ AJ s AG ɑ AJ v BE s AG
თესალონიკი	tʰ AI ɛ AJ s AG ɑ AJ l AC ɔ AK n AE i AJ kʼ AM i AJ
თესვა	tʰ AI ɛ AJ s AG v BE ɑ AJ
თესლდანთხევა	tʰ AI ɛ AJ s AG l AC d AH ɑ AJ n AE tʰ AI x BC ɛ AJ v BE ɑ AJ
თესლი	tʰ AI ɛ AJ s AG l AC i AJ
თეფში	tʰ AI ɛ AJ pʰ AF ʃ AG i AJ
თექვსმეტი	tʰ AI ɛ AJ kʰ AB v BE s AG m AD ɛ AJ tʼ BB i AJ
თეძო	tʰ AI ɛ AJ d AH z AG ɔ AK
თვალაკი	tʰ AI v BE ɑ AJ l AC ɑ AJ kʼ AM i AJ
თვალახვეული	tʰ AI v BE ɑ AJ l AC ɑ AJ x BC v BE ɛ AJ u AK l AC i AJ
თვალთახედვა	tʰ AI v BE ɑ AJ l AC tʰ AI ɑ AJ x BC ɛ AJ d AH v BE ɑ AJ
თვალთმაქცობა	tʰ AI v BE ɑ AJ l AC tʰ AI m AD ɑ AJ kʰ AB t AH s AG ɔ AK b AL ɑ AJ
თვალი	tʰ AI v BE ɑ AJ l AC i AJ
თვალნათლივ	tʰ AI v BE ɑ AJ l AC n AE ɑ AJ tʰ AI l AC i AJ v BE
თვალწარმტაცი	tʰ AI v BE ɑ AJ l AC t AH sʼ BF ɑ AJ r BA m AD tʼ BB ɑ AJ t AH s AG i AJ
თვარა	tʰ AI v BE ɑ AJ r BA ɑ AJ
თვე	tʰ AI v BE ɛ AJ
თვითკმაყოფილად	tʰ AI v BE i AJ tʰ AI kʼ AM m AD ɑ AJ qʼ AM ɔ AK pʰ AF i AJ l AC ɑ AJ d AH
თვითკმაყოფილი	tʰ AI v BE i AJ tʰ AI kʼ AM m AD ɑ AJ qʼ AM ɔ AK pʰ AF i AJ l AC i AJ
თვითმარქვია	tʰ AI v BE i AJ tʰ AI m AD ɑ AJ r BA kʰ AB v BE i AJ ɑ AJ
თვითმასწავლებელი	tʰ AI v BE i AJ tʰ AI m AD ɑ AJ s AG t AH sʼ BF ɑ AJ v BE l AC ɛ AJ b AL ɛ AJ l AC i AJ
თვითმპყრობლურად	tʰ AI v BE i AJ tʰ AI m AD pʼ AN qʼ AM r BA ɔ AK b AL l AC u AK r BA ɑ AJ d AH
თვითმფრინავი	tʰ AI v BE i AJ tʰ AI m AD pʰ AF r BA i AJ n AE ɑ AJ v BE i AJ
თვითნასწავლი	tʰ AI v BE i AJ tʰ AI n AE ɑ AJ s AG t AH sʼ BF ɑ AJ v BE l AC i AJ
თვითნება	tʰ AI v BE i AJ tʰ AI n AE ɛ AJ b AL ɑ AJ
თვითნებად	tʰ AI v BE i AJ tʰ AI n AE ɛ AJ b AL ɑ AJ d AH
თვითნებობა	tʰ AI v BE i AJ tʰ AI n AE ɛ AJ b AL ɔ AK b AL ɑ AJ
თვითნებურად	tʰ AI v BE i AJ tʰ AI n AE ɛ AJ b AL u AK r BA ɑ AJ d AH
თვითნებური	tʰ AI v BE i AJ tʰ AI n AE ɛ AJ b AL u AK r BA i AJ
თვითონ	tʰ AI v BE i AJ tʰ AI ɔ AK n AE
თვისება	tʰ AI v BE i AJ s AG ɛ AJ b AL ɑ AJ
თვისტომი	tʰ AI v BE i AJ s AG tʼ BB ɔ AK m AD i AJ
თვლადი	tʰ AI v BE l AC ɑ AJ d AH i AJ
თვლემა	tʰ AI v BE l AC ɛ AJ m AD ɑ AJ
თვრამეტი	tʰ AI v BE r BA ɑ AJ m AD ɛ AJ tʼ BB i AJ
თიაქარი	tʰ AI i AJ ɑ AJ kʰ AB ɑ AJ r BA i AJ
თიბავს	tʰ AI i AJ b AL ɑ AJ v BE s AG
თიბვა	tʰ AI i AJ b AL v BE ɑ AJ
თივა	tʰ AI i AJ v BE ɑ AJ
თივთიკი	tʰ AI i AJ v BE tʰ AI i AJ kʼ AM i AJ
თითბერი	tʰ AI i AJ tʰ AI b AL ɛ AJ r BA i AJ
თითი	tʰ AI i AJ tʰ AI i AJ
თითისტარი	tʰ AI i AJ tʰ AI i AJ s AG tʼ BB ɑ AJ r BA i AJ
თითო	tʰ AI i AJ tʰ AI ɔ AK
თითოეული	tʰ AI i AJ tʰ AI ɔ AK ɛ AJ u AK l AC i AJ
თითქმის	tʰ AI i AJ tʰ AI kʰ AB m AD i AJ s AG
თითქოს	tʰ AI i AJ tʰ AI kʰ AB ɔ AK s AG
თილისმა	tʰ AI i AJ l AC i AJ s AG m AD ɑ AJ
თინა	tʰ AI i AJ n AE ɑ AJ
