あ	a̠ AJ
きじゅつ	kʲ AC i AJ ʑ BC ɨᵝ t AH s AG ɨᵝ
きじゅん	kʲ AC i AJ ʑ BC ɨ̃ᵝ ɴ AI
きじょ	kʲ AC i AJ ʑ BC o̞ AM
きじょう	kʲ AC i AJ ʑ BC o̞ː AL
きじょうい	kʲ AC i AJ ʑ BC o̞ː AL i AJ
きじん	kʲ AC i AJ ʑ BC ĩ ɴ AI
きす	kʲ AC i AJ s AG ɨᵝ
きすう	kʲ AC i AJ s AG ɨᵝː
きず	kʲ AC i AJ z AG ɨᵝ
きずあと	kʲ AC i AJ z AG ɨᵝ a̠ AJ t AH o̞ AM
きずい	kʲ AC i AJ z AG ɨᵝ i AJ
きずいせん	kʲ AC i AJ z AG ɨᵝ i AJ s AG ẽ̞ ɴ AI
きずきあげる	kʲ AC i AJ z AG ɨᵝ kʲ AC i AJ a̠ AJ ɡ AC e̞ AJ ɾ BB ɯ̟ᵝ
きずく	kʲ AC i AJ z AG ɨᵝ k AC ɯ̟ᵝ
きずぐち	kʲ AC i AJ z AG ɨᵝ ɡ AC ɯ̟ᵝ t AH ɕ BC i AJ
きずつく	kʲ AC i AJ z AG ɨᵝ t AH s AG ɨᵝ k AC ɯ̟ᵝ
きずつける	kʲ AC i AJ z AG ɨᵝ t AH s AG ɨᵝ k AC e̞ AJ ɾ BB ɯ̟ᵝ
きずな	kʲ AC i AJ z AG ɨᵝ n AE a̠ AJ
きせい	kʲ AC i̥ AJ s AG e̞ː AK
きせいじじつ	kʲ AC i AJ s AG e̞ː AK ʑ BC i AJ ʑ BC i AJ t AH s AG ɨᵝ
きせいちゅう	kʲ AC i AJ s AG e̞ː AK t AH ɕ BC ɨᵝː
きせいちゅうがく	kʲ AC i AJ s AG e̞ː AK t AH ɕ BC ɨᵝː ɡ AC a̠ AJ k AC ɯ̟ᵝ
きせいほんのう	kʲ AC i AJ s AG e̞ː AK h AA õ̞ nː BA o̞ː AL
きせき	kʲ AC i̥ AJ s AG e̞ AJ kʲ AC i AJ
きせきげき	kʲ AC i AJ s AG e̞ AJ kʲ AC i AJ ɡ AC e̞ AJ kʲ AC i AJ
きせきてき	kʲ AC i AJ s AG e̞ AJ kʲ AC i AJ t AH e̞ AJ kʲ AC i AJ
きせつ	kʲ AC i AJ s AG e̞ AJ t AH s AG ɨᵝ
きせる	kʲ AC i̥ AJ s AG e̞ AJ ɾ BB ɯ̟ᵝ
きせん	kʲ AC i AJ s AG ẽ̞ ɴ AI
きぜん	kʲ AC i AJ z AG ẽ̞ ɴ AI
きそ	kʲ AC i AJ s AG o̞ AM
きそう	kʲ AC i AJ s AG o̞ː AL
きそく	kʲ AC i AJ s AG o̞ AM k AC ɯ̟ᵝ
きそくてき	kʲ AC i AJ s AG o̞ AM k AC ɯ̟ᵝ t AH e̞ AJ kʲ AC i AJ
きそん	kʲ AC i AJ s AG õ̞ ɴ AI
きぞう	kʲ AC i AJ z AG o̞ː AL
きぞく	kʲ AC i AJ z AG o̞ AM k AC ɯ̟ᵝ
きぞくいん	kʲ AC i AJ z AG o̞ AM k AC ɯ̟ᵝ ĩ ɴ AI
きた	kʲ AC i̥ AJ t AH a̠ AJ
きたい	kʲ AC i̥ AJ t AH a̠ AJ i AJ
きたいはずれ	kʲ AC i AJ t AH a̠ AJ i AJ h AA a̠ AJ z AG ɨᵝ ɾ BB e̞ AJ
きたえる	kʲ AC i AJ t AH a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
きたかいきせん	kʲ AC i̥ AJ t AH a̠ AJ k AC a̠ AJ i AJ kʲ AC i̥ AJ s AG ẽ̞ ɴ AI
きたがわ	kʲ AC i AJ t AH a̠ AJ ɡ AC a̠ AJ ɰᵝ a̠ AJ
きたく	kʲ AC i AJ t AH a̠ AJ k AC ɯ̟ᵝ
きたくぶ	kʲ AC i AJ t AH a̠ AJ k AC ɯ̟ᵝ b AF ɯ̟ᵝ
きたこれ	kʲ AC i AJ t AH a̠ AJ k AC o̞ AM ɾ BB e̞ AJ
きたす	kʲ AC i AJ t AH a̠ AJ s AG ɨᵝ
きたたいせいようかいりゅう	kʲ AC i̥ AJ t AH a̠ AJ t AH a̠ AJ i AJ s AG e̞ː AK j AB o̞ː AL k AC a̠ AJ i AJ ɾʲ BI ɨᵝː
きたたいせいようじょうやくきこう	kʲ AC i̥ AJ t AH a̠ AJ t AH a̠ AJ i AJ s AG e̞ː AK j AB o̞ː AL d AH ʑ BC o̞ː AL j AB a̠ AJ k AC ɯ̟ᵝ kʲ AC i̥ AJ k AC o̞ː AL
きたては	kʲ AC i̥ AJ t AH a̠ AJ t AH e̞ AJ h AA a̠ AJ
きたない	kʲ AC i̥ AJ t AH a̠ AJ n AE a̠ AJ i AJ
きたないばくだん	kʲ AC i AJ t AH a̠ AJ n AE a̠ AJ i AJ b AF a̠ AJ k AC ɯ̟ᵝ d AH ã̠ ɴ AI
きたはんきゅう	kʲ AC i̥ AJ t AH a̠ AJ h AA ã̠ ŋʲ AI kʲ AC ɨᵝː
きたひろしま	kʲ AC i AJ t AH a̠ AJ ç i AJ ɾ BB o̞ AM ɕ BC i AJ m AD a̠ AJ
きだい	kʲ AC i AJ d AH a̠ AJ i AJ
きだて	kʲ AC i AJ d AH a̠ AJ t AH e̞ AJ
きち	kʲ AC i̥ AJ t AH ɕ BC i AJ
きちがい	kʲ AC i AJ t AH ɕ BC i AJ ɡ AC a̠ AJ i AJ
きちがいざた	kʲ AC i AJ t AH ɕ BC i AJ ɡ AC a̠ AJ i AJ z AG a̠ AJ t AH a̠ AJ
きちじ	kʲ AC i AJ t AH ɕ BC i AJ ʑ BC i AJ
きちじつ	kʲ AC i AJ t AH ɕ BC i AJ ʑ BC i AJ t AH s AG ɨᵝ
きちじょう	kʲ AC i AJ t AH ɕ BC i AJ ʑ BC o̞ː AL
きちょう	kʲ AC i AJ t AH ɕ BC o̞ː AL
きちょうめん	kʲ AC i̥ AJ t AH ɕ BC o̞ː AL m AD ẽ̞ ɴ AI
きっきょう	kʲ AC i AJ k̚ʲ kʲ AC o̞ː AL
きっきん	kʲ AC i AJ k̚ʲ kʲ AC ĩ ɴ AI
きっさ	kʲ AC i AJ sː BD a̠ AJ
きっさてん	kʲ AC i AJ sː BD a̠ AJ t AH ẽ̞ ɴ AI
きっすい	kʲ AC i AJ sː BD ɯ̟ᵝ i AJ
きっちょう	kʲ AC i̥ AJ t̚ t AH ɕ BC o̞ː AL
きっちり	kʲ AC i̥ AJ t̚ t AH ɕ BC i AJ ɾʲ BI i AJ
きって	kʲ AC i AJ t̚ t AH e̞ AJ
きってしゅうしゅう	kʲ AC i AJ t̚ t AH e̞ AJ ɕ BC ɨᵝː ɕ BC ɨᵝː
きっと	kʲ AC i̥ AJ t̚ t AH o̞ AM
きっぷ	kʲ AC i AJ p̚ p AF ɯ̟ᵝ
きつ	t AH ɕ BC iː AK
きつい	kʲ AC i̥ AJ t AH s AG ɨᵝ i AJ
きつえん	kʲ AC i AJ t AH s AG ɨᵝ ẽ̞ ɴ AI
きつつき	kʲ AC i̥ AJ t AH s AG ɨᵝ t AH s AG ɨ̥ᵝ kʲ AC i AJ
きつね	kʲ AC i̥ AJ t AH s AG ɨᵝ n AE e̞ AJ
きつねあざみ	ɡ AC a̠ AJ
きつねざる	kʲ AC i̥ AJ t AH s AG ɨᵝ n AE e̞ AJ z AG a̠ AJ ɾ BB ɯ̟ᵝ
きつねづか	kʲ AC i AJ t AH s AG ɨᵝ n AE e̞ AJ z AG ɨᵝ k AC a̠ AJ
きつねのよめいり	kʲ AC i AJ t AH s AG ɨᵝ n AE e̞ AJ n AE o̞ AM j AB o̞ AM m AD e̞ AJ i AJ ɾʲ BI i AJ
きつねび	kʲ AC i AJ t AH s AG ɨᵝ n AE e̞ AJ bʲ BH i AJ
きづかわしい	kʲ AC i AJ z AG ɨᵝ k AC a̠ AJ ɰᵝ a̠ AJ ɕ BC i AJ i AJ
きづく	kʲ AC i AJ z AG ɨᵝ k AC ɯ̟ᵝ
きづち	kʲ AC i AJ z AG ɨᵝ t AH ɕ BC i AJ
きてい	kʲ AC i AJ t AH e̞ː AK
きているい	kʲ AC i̥ AJ t AH e̞ː AK ɾ BB ɯ̟ᵝ i AJ
きてき	kʲ AC i AJ t AH e̞ AJ kʲ AC i AJ
きてれつ	kʲ AC i AJ t AH e̞ AJ ɾ BB e̞ AJ t AH s AG ɨᵝ
きてん	kʲ AC i AJ t AH ẽ̞ ɴ AI
きと	kʲ AC i AJ t AH o̞ AM
きとう	kʲ AC i AJ t AH o̞ː AL
きとうし	kʲ AC i AJ t AH o̞ː AL ɕ BC i AJ
きとうしょ	kʲ AC i AJ t AH o̞ː AL ɕ BC o̞ AM
きとんぼ	kʲ AC i̥ AJ t AH õ̞ m AD b AF o̞ AM
きどあいらく	kʲ AC i AJ d AH o̞ AM a̠ AJ i AJ ɾ BB a̠ AJ k AC ɯ̟ᵝ
きどう	kʲ AC i AJ d AH o̞ː AL
きどうしゃ	kʲ AC i AJ d AH o̞ː AL ɕ BC a̠ AJ
きどうたい	kʲ AC i AJ d AH o̞ː AL t AH a̠ AJ i AJ
きどる	kʲ AC i AJ d AH o̞ AM ɾ BB ɯ̟ᵝ
きなこ	kʲ AC i AJ n AE a̠ AJ k AC o̞ AM
きにいる	kʲ AC i AJ ɲ̟ BF i AJ i AJ ɾ BB ɯ̟ᵝ
きにする	kʲ AC i AJ ɲ̟ BF i AJ s AG ɨᵝ ɾ BB ɯ̟ᵝ
きにするな	kʲ AC i AJ ɲ̟ BF i AJ s AG ɨᵝ ɾ BB ɯ̟ᵝ n AE a̠ AJ
きにち	kʲ AC i AJ ɲ̟ BF i AJ t AH ɕ BC i AJ
きにゅう	kʲ AC i AJ ɲ̟ BF ɯ̟ᵝː
きぬ	kʲ AC i AJ n AE ɯ̟ᵝ
きぬいと	kʲ AC i AJ n AE ɯ̟ᵝ i AJ t AH o̞ AM
きぬげねずみ	kʲ AC i AJ n AE ɯ̟ᵝ ɡ AC e̞ AJ n AE e̞ AJ z AG ɨᵝ mʲ BG i AJ
きぬじ	kʲ AC i AJ n AE ɯ̟ᵝ ʑ BC i AJ
きぬのみち	kʲ AC i AJ n AE ɯ̟ᵝ n AE o̞ AM mʲ BG i AJ t AH ɕ BC i AJ
きね	kʲ AC i AJ n AE e̞ AJ
きねん	kʲ AC i AJ n AE ẽ̞ ɴ AI
きねんひん	kʲ AC i AJ n AE ẽ̞ ɰ̃ AB ç ĩ ɴ AI
きねんび	kʲ AC i AJ n AE ẽ̞ m AD bʲ BH i AJ
きねんぶつ	kʲ AC i AJ n AE ẽ̞ m AD b AF ɯ̟ᵝ t AH s AG ɨᵝ
きのう	kʲ AC i AJ n AE o̞ː AL
きのこ	kʲ AC i AJ n AE o̞ AM k AC o̞ AM
きのせい	kʲ AC i AJ n AE o̞ AM s AG e̞ː AK
きのどく	kʲ AC i AJ n AE o̞ AM d AH o̞ AM k AC ɯ̟ᵝ
きはく	kʲ AC i AJ h AA a̠ AJ k AC ɯ̟ᵝ
きはつせい	kʲ AC i AJ h AA a̠ AJ t AH s AG ɨᵝ s AG e̞ː AK
きはつゆ	kʲ AC i̥ AJ h AA a̠ AJ t AH s AG ɨᵝ j AB ɯ̟ᵝ
きはん	kʲ AC i AJ h AA ã̠ ɴ AI
きはんじ	kʲ AC i AJ h AA ã̠ ɲ̟ BF d AH ʑ BC i AJ
きば	kʲ AC i AJ b AF a̠ AJ
きばせん	kʲ AC i AJ b AF a̠ AJ s AG ẽ̞ ɴ AI
きひん	kʲ AC i AJ ç ĩ ɴ AI
きび	kʲ AC i AJ bʲ BH i AJ
きびしい	kʲ AC i AJ bʲ BH i AJ ɕ BC i AJ i AJ
きびょう	kʲ AC i AJ bʲ BH o̞ː AL
きぶん	kʲ AC i AJ b AF ɯ̟̃ᵝ ɴ AI
きぶんや	kʲ AC i AJ b AF ɯ̟̃ᵝ ɰ̃ AB j AB a̠ AJ
きほう	kʲ AC i AJ h AA o̞ː AL
きほん	kʲ AC i AJ h AA õ̞ ɴ AI
きほんてき	kʲ AC i AJ h AA õ̞ n AE t AH e̞ AJ kʲ AC i AJ
きぼ	kʲ AC i AJ b AF o̞ AM
きぼう	kʲ AC i AJ b AF o̞ː AL
きまぐれ	kʲ AC i AJ m AD a̠ AJ ɡ AC ɯ̟ᵝ ɾ BB e̞ AJ
きまじめ	kʲ AC i AJ m AD a̠ AJ ʑ BC i AJ m AD e̞ AJ
きまって	kʲ AC i AJ m AD a̠ AJ t̚ t AH e̞ AJ
きまつ	kʲ AC i AJ m AD a̠ AJ t AH s AG ɨᵝ
きまま	kʲ AC i AJ m AD a̠ AJ m AD a̠ AJ
きまり	kʲ AC i AJ m AD a̠ AJ ɾʲ BI i AJ
きまりじ	kʲ AC i AJ m AD a̠ AJ ɾʲ BI i AJ ʑ BC i AJ
きまりわるい	kʲ AC i AJ m AD a̠ AJ ɾʲ BI i AJ ɰᵝ a̠ AJ ɾ BB ɯ̟ᵝ i AJ
きまる	kʲ AC i AJ m AD a̠ AJ ɾ BB ɯ̟ᵝ
きみ	kʲ AC i AJ mʲ BG i AJ
きみがよ	kʲ AC i AJ mʲ BG i AJ ɡ AC a̠ AJ j AB o̞ AM
きみたち	kʲ AC i AJ mʲ BG i AJ t AH a̠ AJ t AH ɕ BC i AJ
きみつ	kʲ AC i AJ mʲ BG i AJ t AH s AG ɨᵝ
きみどり	kʲ AC i AJ mʲ BG i AJ d AH o̞ AM ɾʲ BI i AJ
きみょう	kʲ AC i AJ mʲ BG o̞ː AL
きみょうきてれつ	kʲ AC i AJ mʲ BG o̞ː AL kʲ AC i AJ t AH e̞ AJ ɾ BB e̞ AJ t AH s AG ɨᵝ
きむずかしい	kʲ AC i AJ m AD ɯ̟ᵝ z AG ɨᵝ k AC a̠ AJ ɕ BC iː AK
きめい	kʲ AC i AJ m AD e̞ː AK
きめいとうひょう	kʲ AC i AJ m AD e̞ː AK t AH o̞ː AL ç o̞ː AL
きめこみにんぎょう	kʲ AC i AJ m AD e̞ AJ k AC o̞ AM mʲ BG i AJ ɲ̟ BF ĩ ŋʲ AI ɡʲ AC o̞ː AL
きめる	kʲ AC i AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
きも	k AC ã̠ ɴ AI
きもだめし	kʲ AC i AJ m AD o̞ AM d AH a̠ AJ m AD e̞ AJ ɕ BC i AJ
きもち	kʲ AC i AJ m AD o̞ AM t AH ɕ BC i AJ
きもちいい	kʲ AC i AJ m AD o̞ AM t AH ɕ BC i AJ i AJ i AJ
きもちわるい	kʲ AC i AJ m AD o̞ AM t AH ɕ BC i AJ ɰᵝ a̠ AJ ɾ BB ɯ̟ᵝ i AJ
きもの	kʲ AC i AJ m AD o̞ AM n AE o̞ AM
きゃ	kʲ AC a̠ AJ
きゃく	kʲ AC a̠ AJ k AC ɯ̟ᵝ
きゃくあし	kʲ AC a̠ AJ k AC ɯ̟ᵝ a̠ AJ ɕ BC i AJ
きゃくあしらい	kʲ AC a̠ AJ k AC ɯ̟ᵝ a̠ AJ ɕ BC i AJ ɾ BB a̠ AJ i AJ
きゃくあつかい	kʲ AC a̠ AJ k AC ɯ̟ᵝ a̠ AJ t AH s AG ɨᵝ k AC a̠ AJ i AJ
きゃくしつ	kʲ AC a̠ AJ k AC ɯ̟ᵝ ɕ BC i̥ AJ t AH s AG ɨᵝ
きゃくしょく	kʲ AC a̠ AJ k AC ɯ̟ᵝ ɕ BC o̞ AM k AC ɯ̟ᵝ
きゃくたい	kʲ AC a̠ AJ k AC ɯ̟ᵝ t AH a̠ AJ i AJ
きゃくほん	kʲ AC a̠ AJ k AC ɯ̟̊ᵝ h AA õ̞ ɴ AI
きゃくほんか	kʲ AC a̠ AJ k AC ɯ̟ᵝ h AA õ̞ ŋ AI k AC a̠ AJ
きゃくま	kʲ AC a̠ AJ k AC ɯ̟ᵝ m AD a̠ AJ
きゃしゃ	kʲ AC a̠ AJ ɕ BC a̠ AJ
きゃっか	kʲ AC a̠ AJ k̚ k AC a̠ AJ
きゃっかん	kʲ AC a̠ AJ k̚ k AC ã̠ ɴ AI
きやすめ	kʲ AC i AJ j AB a̠ AJ s AG ɨᵝ m AD e̞ AJ
きやまち	k AC i AJ j AB a̠ AJ m AD a̠ AJ t AH ɕ BC i AJ
きゅ	kʲ AC ɨᵝ
きゅう	kʲ AC ɨᵝː
きゅうか	kʲ AC ɨᵝː k AC a̠ AJ
きゅうかく	kʲ AC ɨᵝː k AC a̠ AJ k AC ɯ̟ᵝ
きゅうかくきかん	kʲ AC ɨᵝː k AC a̠ AJ k AC ɯ̟ᵝ kʲ AC i AJ k AC ã̠ ɴ AI
きゅうかくど	kʲ AC ɨᵝː k AC a̠ AJ k AC ɯ̟ᵝ d AH o̞ AM
きゅうかざん	kʲ AC ɨᵝː k AC a̠ AJ z AG ã̠ ɴ AI
きゅうかん	kʲ AC ɨᵝː k AC ã̠ ɴ AI
きゅうきゅう	kʲ AC ɨᵝː kʲ AC ɨᵝː
きゅうきゅうしゃ	kʲ AC ɨᵝː kʲ AC ɨᵝː ɕ BC a̠ AJ
きゅうきょ	kʲ AC ɨᵝː kʲ AC o̞ AM
きゅうきょう	kʲ AC ɨᵝː kʲ AC o̞ː AL
きゅうきょく	kʲ AC ɨᵝː kʲ AC o̞ AM k AC ɯ̟ᵝ
きゅうきん	kʲ AC ɨᵝː kʲ AC ĩ ɴ AI
きゅうぎ	kʲ AC ɨᵝː ɡʲ AC i AJ
きゅうけい	kʲ AC ɨᵝː k AC e̞ː AK
きゅうけつき	kʲ AC ɨᵝː k AC e̞ AJ t AH s AG ɨ̥ᵝ kʲ AC i AJ
きゅうげき	kʲ AC ɨᵝː ɡ AC e̞ AJ kʲ AC i AJ
きゅうげん	kʲ AC ɨᵝː ɡ AC ẽ̞ ɴ AI
きゅうこうか	kʲ AC ɨᵝː k AC o̞ː AL k AC a̠ AJ
きゅうご	kʲ AC ɨᵝː ɡ AC o̞ AM
きゅうごう	kʲ AC ɨᵝː ɡ AC o̞ː AL
きゅうごはん	kʲ AC ɨᵝː ɡ AC o̞ AM h AA ã̠ ɴ AI
きゅうさい	kʲ AC ɨᵝː s AG a̠ AJ i AJ
きゅうさいぼう	kʲ AC ɨᵝː s AG a̠ AJ i AJ b AF o̞ː AL
きゅうし	kʲ AC ɨᵝː ɕ BC i AJ
きゅうしき	kʲ AC ɨᵝː ɕ BC i AJ kʲ AC i AJ
きゅうしふ	kʲ AC ɨᵝː ɕ BC i AJ ɸ BE ɯ̟ᵝ
きゅうしゅう	kʲ AC ɨᵝː ɕ BC ɨᵝː
きゅうしょう	kʲ AC ɨᵝː ɕ BC o̞ː AL
きゅうしょく	kʲ AC ɨᵝː ɕ BC o̞ AM k AC ɯ̟ᵝ
きゅうしんけい	kʲ AC ɨᵝː ɕ BC ĩ ŋ AI k AC e̞ː AK
きゅうしんしゅぎ	kʲ AC ɨᵝː ɕ BC ĩ ɰ̃ AB ɕ BC ɨᵝ ɡʲ AC i AJ
きゅうじ	kʲ AC ɨᵝː ʑ BC i AJ
きゅうじゅう	kʲ AC ɨᵝː ʑ BC ɨᵝː
きゅうじゅうに	kʲ AC ɨᵝː ʑ BC ɨᵝː ɲ̟ BF i AJ
きゅうじょう	kʲ AC ɨᵝː ʑ BC o̞ː AL
きゅうじょうしょう	kʲ AC ɨᵝː ʑ BC o̞ː AL ɕ BC o̞ː AL
きゅうす	kʲ AC ɨᵝː s AG ɨᵝ
きゅうすい	kʲ AC ɨᵝː s AG ɨᵝ i AJ
きゅうせい	kʲ AC ɨᵝː s AG e̞ː AK
きゅうせいかいはくずいえん	kʲ AC ɨᵝː s AG e̞ː AK k AC a̠ AJ i AJ h AA a̠ AJ k AC ɯ̟ᵝ d AH z AG ɨᵝ i AJ ẽ̞ ɴ AI
きゅうせいしゅ	kʲ AC ɨᵝː s AG e̞ː AK ɕ BC ɨᵝ
きゅうせかい	kʲ AC ɨᵝː s AG e̞ AJ k AC a̠ AJ i AJ
きゅうせかいざる	kʲ AC ɨᵝː s AG e̞ AJ k AC a̠ AJ i AJ z AG a̠ AJ ɾ BB ɯ̟ᵝ
きゅうせき	kʲ AC ɨᵝː s AG e̞ AJ kʲ AC i AJ
きゅうせっきじだい	kʲ AC ɨᵝː s AG e̞ AJ k̚ʲ kʲ AC i AJ d AH ʑ BC i AJ d AH a̠ AJ i AJ
きゅうそう	kʲ AC ɨᵝː s AG o̞ː AL
きゅうそく	kʲ AC ɨᵝː s AG o̞ AM k AC ɯ̟ᵝ
きゅうぞう	kʲ AC ɨᵝː z AG o̞ː AL
きゅうち	kʲ AC ɨᵝː t AH ɕ BC i AJ
きゅうちゃく	kʲ AC ɨᵝː t AH ɕ BC a̠ AJ k AC ɯ̟ᵝ
きゅうちゃくおん	kʲ AC ɨᵝː t AH ɕ BC a̠ AJ k AC ɯ̟ᵝ õ̞ ɴ AI
きゅうてい	kʲ AC ɨᵝː t AH e̞ː AK
きゅうていだいがく	kʲ AC ɨᵝː t AH e̞ː AK d AH a̠ AJ i AJ ɡ AC a̠ AJ k AC ɯ̟ᵝ
きゅうてんちょっか	kʲ AC ɨᵝː t AH ẽ̞ ɲ̟ BF t AH ɕ BC o̞ AM k̚ k AC a̠ AJ
きゅうでん	kʲ AC ɨᵝː d AH ẽ̞ ɴ AI
きゅうとう	kʲ AC ɨᵝː t AH o̞ː AL
きゅうどう	kʲ AC ɨᵝː d AH o̞ː AL
きゅうにゅうき	kʲ AC ɨᵝː ɲ̟ BF ɯ̟ᵝː kʲ AC i AJ
きゅうねん	kʲ AC ɨᵝː n AE ẽ̞ ɴ AI
きゅうのう	kʲ AC ɨᵝː n AE o̞ː AL
きゅうはん	kʲ AC ɨᵝː h AA ã̠ ɴ AI
きゅうひ	kʲ AC ɨᵝː ç i AJ
きゅうびこ	kʲ AC ɨᵝː bʲ BH i AJ k AC o̞ AM
きゅうびのきつね	kʲ AC ɨᵝː bʲ BH i AJ n AE o̞ AM kʲ AC i AJ t AH s AG ɨᵝ n AE e̞ AJ
きゅうふ	kʲ AC ɨᵝː ɸ BE ɯ̟ᵝ
きゅうふきん	kʲ AC ɨᵝː ɸ BE ɯ̟ᵝ kʲ AC ĩ ɴ AI
きゅうへい	kʲ AC ɨᵝː h AA e̞ː AK
きゅうへん	kʲ AC ɨᵝː h AA ẽ̞ ɴ AI
きゅうぼ	kʲ AC ɨᵝː b AF o̞ AM
きゅうむ	kʲ AC ɨᵝː m AD ɯ̟ᵝ
きゅうやく	kʲ AC ɨᵝː j AB a̠ AJ k AC ɯ̟ᵝ
きゅうゆう	kʲ AC ɨᵝː j AB ɯ̟ᵝː
きゅうよ	kʲ AC ɨᵝː j AB o̞ AM
きゅうよう	kʲ AC ɨᵝː j AB o̞ː AL
きゅうり	kʲ AC ɨᵝː ɾʲ BI i AJ
きゅうりょう	kʲ AC ɨᵝː ɾʲ BI o̞ː AL
きゆう	kʲ AC i AJ j AB ɯ̟ᵝː
きょ	kʲ AC o̞ AM
きょう	kʲ AC o̞ː AL
きょうあい	kʲ AC o̞ː AL a̠ AJ i AJ
きょうあく	kʲ AC o̞ː AL a̠ AJ k AC ɯ̟ᵝ
きょうい	kʲ AC o̞ː AL i AJ
きょういく	kʲ AC o̞ː AL i AJ k AC ɯ̟ᵝ
きょういくがく	kʲ AC o̞ː AL i AJ k AC ɯ̟ᵝ ɡ AC a̠ AJ k AC ɯ̟ᵝ
きょういくしゃ	kʲ AC o̞ː AL i AJ k AC ɯ̟ᵝ ɕ BC a̠ AJ
きょうえいもじ	kʲ AC o̞ː AL e̞ː AK m AD o̞ AM ʑ BC i AJ
きょうえん	kʲ AC o̞ː AL ẽ̞ ɴ AI
きょうおう	kʲ AC o̞ː AL o̞ː AL
きょうおん	kʲ AC o̞ː AL õ̞ ɴ AI
きょうか	kʲ AC o̞ː AL k AC a̠ AJ
きょうかい	kʲ AC o̞ː AL k AC a̠ AJ i AJ
きょうかすいげつ	kʲ AC o̞ː AL k AC a̠ AJ s AG ɨᵝ i AJ ɡ AC e̞ AJ t AH s AG ɨᵝ
きょうかつ	kʲ AC o̞ː AL k AC a̠ AJ t AH s AG ɨᵝ
きょうかん	kʲ AC o̞ː AL k AC ã̠ ɴ AI
きょうかんかく	kʲ AC o̞ː AL k AC ã̠ ŋ AI k AC a̠ AJ k AC ɯ̟ᵝ
きょうき	kʲ AC o̞ː AL kʲ AC i AJ
きょうきゅう	kʲ AC o̞ː AL kʲ AC ɨᵝː
きょうきゅうげん	kʲ AC o̞ː AL kʲ AC ɨᵝː ɡ AC ẽ̞ ɴ AI
きょうきん	kʲ AC o̞ː AL kʲ AC ĩ ɴ AI
きょうぎ	kʲ AC o̞ː AL ɡʲ AC i AJ
きょうぎかい	kʲ AC o̞ː AL ɡʲ AC i AJ k AC a̠ AJ i AJ
きょうぎじょう	kʲ AC o̞ː AL ɡʲ AC i AJ ʑ BC o̞ː AL
きょうぎゅうびょう	kʲ AC o̞ː AL ɡʲ AC ɨᵝː bʲ BH o̞ː AL
きょうくん	kʲ AC o̞ː AL k AC ɯ̟̃ᵝ ɴ AI
きょうけん	kʲ AC o̞ː AL k AC ẽ̞ ɴ AI
きょうけんびょう	kʲ AC o̞ː AL k AC ẽ̞ m AD bʲ BH o̞ː AL
きょうげき	kʲ AC o̞ː AL ɡ AC e̞ AJ kʲ AC i AJ
きょうこう	kʲ AC o̞ː AL k AC o̞ː AL
きょうこつ	kʲ AC o̞ː AL k AC o̞ AM t AH s AG ɨᵝ
きょうことば	kʲ AC o̞ː AL k AC o̞ AM t AH o̞ AM b AF a̠ AJ
きょうごう	kʲ AC o̞ː AL ɡ AC o̞ː AL
きょうごうじょうたい	kʲ AC o̞ː AL ɡ AC o̞ː AL d AH ʑ BC o̞ː AL t AH a̠ AJ i AJ
きょうごく	kʲ AC o̞ː AL ɡ AC o̞ AM k AC ɯ̟ᵝ
きょうさ	kʲ AC o̞ː AL s AG a̠ AJ
きょうさいくみあい	kʲ AC o̞ː AL s AG a̠ AJ i AJ k AC ɯ̟ᵝ mʲ BG i AJ a̠ AJ i AJ
きょうさん	kʲ AC o̞ː AL s AG ã̠ ɴ AI
きょうさんしゅぎ	kʲ AC o̞ː AL s AG ã̠ ɰ̃ AB ɕ BC ɨᵝ ɡʲ AC i AJ
きょうさんしゅぎしゃ	kʲ AC o̞ː AL s AG ã̠ ɰ̃ AB ɕ BC ɨᵝ ɡʲ AC i AJ ɕ BC a̠ AJ
きょうし	kʲ AC o̞ː AL ɕ BC i AJ
きょうしきょく	kʲ AC o̞ː AL ɕ BC i AJ kʲ AC o̞ AM k AC ɯ̟ᵝ
きょうしゃ	kʲ AC o̞ː AL ɕ BC a̠ AJ
きょうしょ	kʲ AC o̞ː AL ɕ BC o̞ AM
きょうしょう	kʲ AC o̞ː AL ɕ BC o̞ː AL
きょうしんしょう	kʲ AC o̞ː AL ɕ BC ĩ ɰ̃ AB ɕ BC o̞ː AL
きょうじ	kʲ AC o̞ː AL ʑ BC i AJ
きょうじつ	kʲ AC o̞ː AL ʑ BC i AJ t AH s AG ɨᵝ
きょうじゅ	kʲ AC o̞ː AL ʑ BC ɨᵝ
きょうじょう	kʲ AC o̞ː AL ʑ BC o̞ː AL
きょうじん	kʲ AC o̞ː AL ʑ BC ĩ ɴ AI
きょうすいびょう	kʲ AC o̞ː AL s AG ɨᵝ i AJ bʲ BH o̞ː AL
きょうすけ	kʲ AC o̞ː AL s AG ɨᵝ k AC e̞ AJ
きょうせい	kʲ AC o̞ː AL s AG e̞ː AK
きょうせいしゅうようじょ	kʲ AC o̞ː AL s AG e̞ː AK ɕ BC ɨᵝː j AB o̞ː AL ʑ BC o̞ AM
